#,跟踪,状态,优先级,主题,指派给,更新于,描述
1508,android,新建,普通,im需求确认,珂 赵,2016-07-21 21:36,im消息相关，需求反馈，如图。
1503,ios,新建,普通,聊天页面，消息乱序问题,亚 付,2016-07-20 23:08,"1、几台手机同时在“班级群聊”或者直播“IM广场”测，一台手机连续发送好多条消息，不同手机收到的消息顺序不一样。
2、一台手机，直播时，当时在聊天页面收到消息，退出登陆直播界面，IM广场的消息顺序会变化。"
1502,ios,反馈,普通,消息入口回复私信或回复帖子异常(旧im体系),亚 付,2016-07-20 22:17,"多名大医生反馈，ios消息入口异常：
1.回复私信时闪退，必须重新登录
2. 提示帖子有回复，点击进入消息后空白
更换架构后要多测试。

--------------------------
经付亚确认，
代码手误：asyn写成了syn

"
1501,ios,新建,普通,录音被打断时，出现异常,亚 付,2016-07-20 22:02,"直播活动－问答环节：
讲师回答问题时，录音时被电量低打断，录音出现异常。"
1500,ios,新建,高,多次录音后，点完成，请求失败（网慢）,亚 付,2016-07-20 21:53,"直播活动－问答环节：
讲师点击添加回答，回答问题时，上传多个语音，语音上传一直在转圈（网络不好），点击完成按钮，请求失败，所有的语音就会丢失。"
1499,ios,新建,高,回答问题，补充问题时出现闪退。,亚 付,2016-07-20 21:34,"直播活动－问答环节：
讲师点击添加回答按钮，在回答页面，回答完一个问题点击“完成”，问题推出到聊天页面，继续添加补充回答问题，回答完卡顿，出现闪退。"
1498,ios,新建,普通,录音上传时候 ，再点击录音按键，录音丢失。,亚 付,2016-07-20 21:28,"直播活动－问答环节：
讲师添加回答时，发语音，语音上传时，再点击录音按钮，上传的语音会丢失。"
1497,server,新建,普通,活动列表页面，ios和android显示的报名人数不同步,照林 蒲,2016-07-20 20:41,可能原因是获取了不同字段的信息
1496,ios,新建,普通,用户需要对已发帖子进行编辑,亚 付,2016-07-20 18:28,"背景：
版本 ios 安卓2.5
目前用户不能对已发帖子进行编辑，发错了只能删掉重发。
产生的问题：
1. 不能按照时间轴和诊疗进展编辑帖子，只能另起帖子，一个病例发多个帖子 阅读管理不便
2. 田娟会诊求助贴 7.11，用户发了2个帖子求助（1个只有文字描述，1个只有图片），最终通过后台编辑成一个帖子。

增加“编辑”按钮，点击后进入发帖界面 并显示原有内容。用户可多次对帖子进行编辑。"
1495,ios,新建,普通,终端图片显示优化,亚 付,2016-07-20 16:41,"看帖时，正方形的图片缩略图显示没有问题，
长方形的图片缩略图只能显示一部分，需要优化为缩略图正常显示。"
1491,server,新建,高,采购NAS,奇 刘,2016-07-19 18:22,"采购NAS，存储公司数据。
采购需求：
- 性能稳定。
- 容量够大。后期易于扩展。
- 可支持多种写入协议。"
1490,server,已解决,紧急,批量用户信息操作,照林 蒲,2016-07-19 19:36,"1.  以下医生数据库字段的含义、长度限制、对应app的菜单名称
UserID,
UserName,
NickName,
TrueName,
Hospital,
HospitalKey,
Speciality,
Title,
GoodAt,
DoctorType,
DoctorStatus,
Email,
Address,
Sex,
MobileStatus,
RegisterDateTime,
Characters,
Degree,
University,
HeadImg,
Status,
lastUpdateTime
2. 按userid顺序批量导出用户信息，excel或csv格式，给出userid，医生的姓名、联系方式（隐藏手机号码中间4位）、所在省、市、区（县），及医院信息
3. 批量导入用户信息的模版
如果可以通过渠道补充部分医生信息，按什么模版输入可以批量导入数据库
导入时检查如用户注册情况，如已在平台注册则将该信息导入数据库，如果没注册则给出未在平台注册用户列表，能让渠道去追溯
导入信息必须 姓名 手机号 省市区县 医院，其他信息（参考1中的字段定义，如能收集到则导入）
4. 用户批量认证的模版
如果可以通过渠道保证医生用户的真实性，如何批量认证用户，给出手机号列表可以吗？"
1488,server,新建,普通,医生认证审批需要能直接打回，并给出原因,照林 蒲,2016-07-19 12:11,"背景：
平台对医生的实名、医师资格、职业资格认证为后台人工审批。
如果不合格必须先审核通过再打回，多一道手续容易误操作。
且不能按时间顺序列出用户申请，造成可能错过用户申请，影响用户体验。
需求：
1.没有上传照片着不予提交，
2.提交认证后提示：48小时内告知认证结果
3.如果认证不通过，打回界面可以选择原因，“用户姓名不符合规范”，“没有提供身份证/医师资格证/职业医师证照片”，“用户姓名与医师资格证号/职业医师证号显示姓名不一致”，审批回到未认证状态。 
4.当前用户审批显示历史审批记录
5.待审批事项按时间轴排序"
1487,server,已解决,立刻,线上用户登陆没反应,照林 蒲,2016-07-20 11:36,"部分用户登录app时，点击登陆按钮无反应
如：15010897805"
1486,android,新建,普通,用户需要对已发帖子进行编辑,智丰 郭,2016-07-19 10:40,"背景：
版本 ios 安卓2.5
目前用户不能对已发帖子进行编辑，发错了只能删掉重发。
产生的问题：
1. 不能按照时间轴和诊疗进展编辑帖子，只能另起帖子，一个病例发多个帖子 阅读管理不便
2. 田娟会诊求助贴 7.11，用户发了2个帖子求助（1个只有文字描述，1个只有图片），最终通过后台编辑成一个帖子。"
1485,ios,新建,普通,语音输入框，录音时间过长，这时如果手机屏保出现，之前的录音就会消失。,亚 付,2016-07-18 22:01,"在直播活动中，点击语音输入框，录音时间很长，在录音期间出现手机屏保，再打开手机，之前的录音就会消失。
在录音期间，如果碰到突然来电，网络中断，或者被其他高优先级应用打断，这时，之前的录音会不会消失。也要考虑到。"
1484,ios,新建,普通,语音输入框，语音输入结束后，紧接着点击一下语音输入框，之前的语音回答就会消失。,亚 付,2016-07-18 21:54,"在直播活动中，导师回答提问时，点击语音输入框，开始录音，当录音结束松手后，紧接着点击一下语音输入框，之前的录音就会消失。
"
1483,android,新建,高,直播活动－语音输入框热区过小，且没有按下去的提示。,智丰 郭,2016-07-21 18:06,"在正在直播的活动中，用户点击语音输入框：
1，输入框的热区过小，按住语音输入框时，手稍微动一下，语音就会发出去。
2，语音输入框上没有可以点击按下去的提示。"
1480,android,新建,普通,分享部分待添加,加宏 胡,2016-07-18 18:39,引入ImSDK与之前的分享的jar包冲突。要重新写分享那一块。
1479,android,新建,普通,直播界面的效果图和切图,智丰 郭,2016-07-18 10:40,直播界面的效果图和切图还有标注图，都在附件里面了，缺什么的话再跟我说。
1478,android,新建,普通,头像图片刷新时闪烁,加宏 胡,2016-07-18 10:30,进入页面或者刷新适配器的时候头像会闪烁
1477,server,新建,普通,帖子后台主要功能整理,xu jiali,2016-07-19 18:17,"佳丽帮忙整理一下，帖子后台常用功能的。
最好有截图或者链接
下一步要重写这块"
1476,android,新建,普通,首页工作室解决图片失真,加宏 胡,2016-07-16 17:43,首页工作室老师的头像显示失真，影响体验
1475,android,新建,普通,首页loading条重复出现,加宏 胡,2016-07-16 17:39,切换账号时，首页loading条有时展示两个，第二个不会自动消失
1474,pc,进行中,普通,医大帮PC视频客户端开发,奇 刘,2016-07-15 14:29,基于OBS，开发医大帮PC端视频录制软件。
1473,支持,新建,普通,付亚_Sprint_2周,亚 付,2016-07-15 12:08,http://svn.zhaitech.com:3000/documents/33，
1471,ios,新建,普通,发帖—图片（马赛克）使用提示,智丰 郭,2016-07-21 18:29,"发布帖子，添加图片时，是否可以跳出弹窗，提醒医生将患者信息马赛克；或者将APP图片修改区域“马赛克”三字进一步解释，提示隐藏患者信息。

理由：
1、为尊重患者隐私，避免医疗纠纷，需马赛克患者隐私。
2、主动发帖医生很少主动使用“马赛克”功能。
3、猜想或许有些医生并不知道“马赛克”是什么意思。"
1468,功能,新建,普通,医大帮测试覆盖集合,远航 王,2016-07-14 17:26,准备一个最完整的测试集，每次版本功能都要完整覆盖。
1466,ios,进行中,普通,快速认证流程梳理,珂 赵,2016-07-21 18:31,"目前平台要求用户上传三证之一（身份证、医师资格证、医师执业证书），及两个编码之一（医师资格证书编码或医师执业证书编码）。
渠道反馈医生不愿上传身份证件，医师资格证、医师执业证书又压在医院。
医生方便提供的一是工作胸牌，二是职称证书，另如果再加上渠道的担保，是否可以简化认证所需材料及流程，并批量通过认证。"
1465,server,进行中,普通,用户批量完善信息及批量认证需求,珂 赵,2016-07-15 19:28,"目前数据库中用户信息不全，有渠道可以帮助完善用户信息--如所在省市区（县）、医院、医生身份证号、医师资格证书编号、医师执业证书编号等，可批量导入数据库更新，使得各类统计报表更加精准。
批量认证通过---渠道可将用户信息、认证信息收集完全，是否可以批量通过认证"
1464,server,反馈,普通,县在起航统计报表需求,珂 赵,2016-07-15 19:29,"第一，县在起航对于饼图的要求按照大区合并就可以，不用体现省份。

东北大区：黑龙江、内蒙、吉林、辽宁

西北大区：新疆、山西、甘肃、青海、陕西

华中大区：河北、河南、湖北、湖南

华东大区：山东、江苏、浙江

东南大区：安徽、江西、广西、广东、福建

西南大区：云南、贵州、西藏、四川

第二，具体名单看看是不是也能按照这个大区划分出来

第三，每期县在起航的会议结束后我会在周五的时候发给公司负责人，

      另外月末的时候会要一个回看数据的分析，其中包括次数，人员，时间等等。（就像之前给他们做的PPT）
"
1463,ios,新建,普通,banner图设计,青 常,2016-07-18 15:32,正在进行banner图的设计，预计全部完成时间下周三之前。
